"BooksReaderID","BookID","ReaderID","DateIssued","ReturnedDate","Type"
"1018","3649","125","2010-06-24 00:00:00.0","null","Copy"
"1020","3658","127","2011-01-14 00:00:00.0","null","Copy"
"1021","3659","42","2011-02-21 00:00:00.0","null","Copy"
"1022","3660","42","2011-03-28 00:00:00.0","null","Copy"
"1023","3662","42","2011-04-12 00:00:00.0","null","Copy"
"1024","3361","124","2016-02-18 00:00:00.0","null","Copy"
"1025","2461","124","2016-02-18 00:00:00.0","null","Copy"
"1027","3665","42","2011-06-09 00:00:00.0","null","Copy"
"1031","3713","42","2012-03-08 00:00:00.0","null","Copy"
"1033","227","11","2012-06-05 00:00:00.0","null","Copy"
"1034","1579","11","null","null",""
"1035","3003","11","2012-06-05 00:00:00.0","null","Copy"
"1036","1661","11","2012-06-05 00:00:00.0","null","Copy"
"1037","337","11","null","null",""
"1038","3717","11","2012-06-05 00:00:00.0","null","Copy"
"1039","2686","11","2012-06-05 00:00:00.0","null","Copy"
"1040","3715","11","2012-06-05 00:00:00.0","null","Copy"
"1041","205","118","2012-06-05 00:00:00.0","null","Copy"
"1042","3718","11","2012-06-05 00:00:00.0","null","Copy"
"1043","3720","112","2012-06-29 00:00:00.0","null","Copy"
"1044","2150","42","null","null",""
"1045","3722","42","2012-07-27 00:00:00.0","null","Copy"
"1046","3721","42","2012-07-27 00:00:00.0","null","Copy"
"1048","3729","11","2012-10-01 00:00:00.0","null","Copy"
"1049","3735","42","2012-01-24 00:00:00.0","null","Copy"
"1050","86","42","2013-01-28 00:00:00.0","null","Copy"
"1051","3736","94","2013-02-14 00:00:00.0","null","Copy"
"1052","3737","94","2013-02-14 00:00:00.0","null","Copy"
"1053","3332","113","2013-04-05 00:00:00.0","null","Copy"
"1054","1756","11","null","null",""
"1055","1846","37","2013-05-20 00:00:00.0","null","Copy"
"1056","1445","37","2013-05-20 00:00:00.0","null","Copy"
"1057","3741","11","2013-05-20 00:00:00.0","null","Copy"
"1058","2763","11","null","null",""
"1059","3740","11","2013-05-20 00:00:00.0","null",""
"1060","3742","11","2013-05-21 00:00:00.0","null","Copy"
"1061","2193","11","2013-05-21 00:00:00.0","null","Copy"
"1062","1734","11","2013-05-21 00:00:00.0","null","Copy"
"1063","3181","11","2013-05-21 00:00:00.0","null","Copy"
"1064","2924","11","2013-05-21 00:00:00.0","null","Copy"
"1065","1064","11","2013-05-21 00:00:00.0","null","Copy"
"1066","3744","112","2013-06-10 00:00:00.0","null","Copy"
"1067","3747","23","2013-12-04 00:00:00.0","null","Copy"
"1068","3666","113","2016-01-20 00:00:00.0","null","Copy"
"1069","3871","113","2016-01-21 00:00:00.0","null","Copy"
"1070","3870","113","2016-01-21 00:00:00.0","null","Copy"
"1071","3869","113","2016-01-21 00:00:00.0","null","Copy"
"1072","3868","113","2016-01-21 00:00:00.0","null","Copy"
"1073","3834","113","2016-01-21 00:00:00.0","null","Copy"
"1074","3819","113","2016-01-21 00:00:00.0","null","Copy"
"1075","3835","113","2016-01-21 00:00:00.0","null","Copy"
"1076","3821","113","2016-01-21 00:00:00.0","null","Copy"
"1077","3831","113","2016-01-21 00:00:00.0","null","Copy"
"1078","3849","113","2016-01-21 00:00:00.0","null","Copy"
"1079","3853","113","2016-01-21 00:00:00.0","null","Copy"
"1080","3855","113","2016-01-21 00:00:00.0","null","Copy"
"1081","3852","113","2016-01-21 00:00:00.0","null","Copy"
"1082","3861","113","2016-01-21 00:00:00.0","null","Copy"
"1083","3860","113","2016-01-21 00:00:00.0","null","Copy"
"1084","3859","113","2016-01-21 00:00:00.0","null","Copy"
"1085","3856","113","2016-01-21 00:00:00.0","null","Copy"
"1086","3813","113","2016-01-21 00:00:00.0","null","Copy"
"1087","3810","113","2016-01-21 00:00:00.0","null","Copy"
"1088","3811","113","2016-01-21 00:00:00.0","null","Copy"
